institution,name,lat,lon,fuzz-ratio
University of Erlangen–Nuremberg,University Library Erlangen-Nuremberg: Sublibrary Theology,49.600375,11.0171829,64
University of Exeter,University of Exeter,50.736854,-3.533407,100
University of Freiburg,Brand University of Applied Sciences,53.545886,9.930517,55
University of Groningen,Academy Building,53.21967825,6.562514810379012,31
University of Guelph,University of Guelph,43.535193,-80.22009972637464,100
University of Göttingen,University of Bayreuth,49.92633,11.58504,67
University of Hannover,University of Veterinary Medicine Hanover,52.3685695,9.765730655885474,67
University of Helsinki,University of Helsinki,60.171039300000004,24.949155335163038,100
University of Hong Kong,The University of Hong Kong,22.283269,114.136744,92
University of Innsbruck,University of Innsbruck-Campus Innrain,47.26331595,11.384473309954492,75
University of Ioannina,University of Ioannina,39.615659050000005,20.83952573354071,100
University of Jordan,University of Utah Healthcare - South Jordan Health Center,40.542293,-112.014197,51
University of Kassel,International YMCA University of Applied Scienes,51.303706250000005,9.414465124062877,44
University of Kent,University of Kent,51.295015750000005,1.0673010856199983,100
University of Klagenfurt,University of Klagenfurt,46.616402550000004,14.264680917308162,100
University of Konstanz,University of Konstanz,47.690088599999996,9.188243876500252,100
University of L'Aquila,Università degli Studi dell'Aquila - Corsi di Studio di Economia,42.3538791,13.412249567853056,42
University of Leeds,"University of Leeds, Sports Park Weetwood",53.83755925,-1.587391740217544,63
University of Leipzig,Leipzig University of Applied Sciences,51.3131269,12.373565233025795,54
University of Luxembourg,University of Luxembourg,49.62319225,6.112759617239071,100
University of Lübeck,University of Lübeck,53.8344,10.70392,100
University of Mainz,University of Bayreuth,49.92633,11.58504,73
University of Malaya,University of Malaya,3.1255683000000003,101.65582254721087,100
University of Manchester,University of Manchester - Oxford Road Campus,53.4657087,-2.232734319907597,70
University of Manitoba,University of Manitoba,49.815622,-97.118363,100
University of Mannheim,Hochschule Mannheim,49.4699765,8.4819024,49
University of Melbourne,University of Melbourne,-37.7970796,144.96130134414312,100
University of Molise,Università degli Studi del Molise,41.55380325,14.664859584699817,64
University of Murcia,Granja Veterinaria Univ. de Murcia,38.00615485,-1.173125859127686,44
University of New Brunswick,University of New Brunswick,45.945530250000004,-66.64018313486694,100
University of Newcastle,Warabrook,-32.8870387,151.7098651,12
University of Nicosia,University of Nicosia,35.1660481,33.314940552800635,100
University of Nottingham,University of Nottingham,52.9387428,-1.2002956927457427,100
University of Osnabrück,Library of the University of Osnabrueck,52.2733042,8.0455442,71
University of Otago,University of Otago,-45.8649793,170.51461487350844,100
University of Ottawa,University of Ottawa,45.42252705,-75.68339041611182,100
University of Piraeus,University of Piraeus,37.94173275,23.653032618219704,100
University of Pisa,Reserved university parking,43.7199174,10.410056942742635,49
University of Potsdam,XU Exponential University of Applied Sciences,52.3888479,13.1197939,45
University of Queensland,The University of Queensland,-27.49741805,153.01316955983583,92
University of Regina,University of Regina,50.4152275,-104.58899996239825,100
University of Rostock,University of Rostock Faculty for Agricultural and Environmental Sciences,54.07541,12.09848,45
University of Salerno,University of Illinois at Chicago,41.870832,-87.64993,63
University of Sannio,University of Illinois at Chicago,41.870832,-87.64993,64
University of Saskatchewan,University of Saskatchewan,52.13441935,-106.6277768327002,100
University of Sheffield,University of Sheffield,53.3815327,-1.4806602,100
University of Southampton,University of Southampton,50.93703355,-1.4050090771323005,100
University of St Andrews,University of St Andrews,56.3398198,-2.8117937053149826,100
University of Stuttgart,University of Hohenheim,48.7133801,9.21208986402533,61
University of Surrey,University of Surrey,51.24307815,-0.5900544877514773,100
University of Sussex,University of Sussex,50.86796665,-0.08778899363132905,100
University of Sydney,The University of Sydney,-33.88888125,151.18941425705117,91
University of Szeged,University of Szeged,46.25004545,20.146503351468105,100
University of Technology Sydney,University of Technology Sydney,-33.8828784,151.20068119546247,100
University of Tokyo,University of Tokyo,35.71339,139.76232,100
University of Toronto,University of Toronto,43.663461999999996,-79.39775966248058,100
University of Trento,University of Trento,46.06682,11.12326,100
University of Trier,Trier University of Applied Sciences,49.768058100000005,6.628690122060743,58
University of Tsukuba,University of Tsukuba,36.1070526,140.10066020403983,100
University of Twente,University of Twente,52.23881,6.85035,100
University of Tübingen,Climate Garden of University Tuebingen,48.53405945,9.071244429234808,60
University of Ulm,Hochschule Neu-Ulm,48.38044334999999,10.010101151636224,29
University of Victoria,University of Victoria,48.468468,-123.316619,100
University of Vienna,University of Vienna,48.2131284,16.360685994114505,100
University of Waikato,University of Waikato,-37.7858739,175.31676647297562,100
University of Warsaw,University of Warsaw,52.2402106,21.018851115550465,100
University of Warwick,University of Warwick,52.3813073,-1.5639569481637439,100
University of Waterloo,University of Waterloo,43.4701994,-80.54524293779451,100
University of Western Australia,University of Western Australia,-31.95040445,115.79790157357621,100
University of Windsor,University of Windsor,42.305201350000004,-83.06649144027972,100
University of Wroclaw,University of Wrocław,51.11399,17.03393,95
University of Würzburg,University of Bayreuth,49.92633,11.58504,73
University of Zurich,Zurich University of Applied Sciences,47.49684345,8.72980716809498,56
Università della Svizzera italiana,Universita della Svizzera Italiana (USI),46.0109126,8.958120471825609,86
Université Jean Monnet,Université - Jean Jaurès,45.748455,4.84387,70
Université Laval,Université de Montréal - Campus Laval,45.55889325,-73.72078951223438,60
Université Paris Dauphine,Université Paris-Dauphine,48.87015115,2.2735218497104226,96
Université de Sherbrooke,Université de Sherbrooke,45.37796365,-71.92746417605778,100
Université libre de Bruxelles,Université Libre de Bruxelles (Campus du Solbosch),50.81347185,4.381235729203142,71
Uppsala University,Uppsala University,59.85519,17.63149,100
Utrecht University,Utrecht University,52.09021,5.12233,100
VISTEC,VISTEC,13.0016529,101.441304,100
Victoria University of Wellington,Victoria University of Wellington,-36.8482415,174.76775596988733,100
Weizmann Institute of Science,Weizmann Institute of Science,31.907849900000002,34.81334092444211,100
Western University,Western University,43.0088973,-81.2621821,100
Westlake University,"Westlake University, School of Life Sciences, building 1",30.1360628,120.0765667339482,51
Xi'an Jiaotong University,Xian Jiaotong University,34.2474949,108.97897240302595,98
Yonsei University,Yonsei University,37.565,126.93833,100
Yıldız Technical University,technical university,2.202113,102.247069,77
CUNY,Cuny Table,43.5316556,-102.6837909,14
Boston University,Boston University,42.350189400000005,-71.10070118497421,100
University of Washington,University of Washington,47.6543466,-122.30806059473039,100
George Mason University,George Mason University,38.83133325,-77.30798838879116,100
Colorado State University,Colorado,39.6796152,-104.9376995,48
Iowa State University,Iowa State Capitol,41.591189,-93.603811,67
Duke University,Duke University,36.00015569999999,-78.94422972195878,100
Florida International University,Florida International University,25.7553898,-80.3762832779774,100
Oklahoma State University,Southeastern Oklahoma State University,34.0083179,-96.3756103445447,79
Northeastern University,Northeastern University,42.3390301,-71.08791294953176,100
Rutgers University,Rutgers University,40.4855746,-74.4319015,100
Washington University in St. Louis,Washington University in St. Louis,38.64724015,-90.3084017323959,100
University of Colorado Boulder,University of Colorado,40.00759835,-105.26910078017822,85
University of Notre Dame,University of Notre Dame du Lac,41.704567749999995,-86.23822026017265,87
University of Chicago,The University of Chicago,41.79139685,-87.60084387193544,91
University of Pennsylvania,University of Pennsylvania,39.9493382,-75.18964402998125,100
Yale University,Yale University,41.25713055,-72.98966960152231,100
Stanford University,Stanford University,37.431313849999995,-122.16936535498309,100
University of Iowa,University of Iowa,41.631102350000006,-91.54075201642047,100
Princeton University,Princeton University,40.33867515,-74.65836549131683,100
Carnegie Mellon University,Carnegie Mellon University,40.444189699999995,-79.94271918393466,100
University of Connecticut,University of Connecticut,41.82175755,-72.24277535505323,100
University of Florida,University of Florida,29.6328784,-82.34901329340119,100
Michigan State University,Michigan Theater,42.27949,-83.74175,63
Texas Tech University,Texas Tech University,33.59375255,-101.89959552302756,100
University of New Orleans,University of New Orleans - East Campus,30.03043785,-90.04932935842601,78
University of New Mexico,University of New Mexico,35.08663275,-106.62020940505188,100
Cornell University,Cornell University,42.450550699999994,-76.47835129554275,100
University of Central Florida,University of Central Florida,28.592364,-81.208607,100
University of Minnesota,"The University of Minnesota, Twin Cities Campus",44.9863392,-93.17945580218503,66
Vanderbilt University,Vanderbilt University,36.14380105,-86.80281889095295,100
Johns Hopkins University,Johns Hopkins University - Homewood Campus,39.33020225,-76.62185357858337,73
Northern Arizona University,Northern Arizona University,35.1834428,-111.65500037883243,100
Wichita State University,Wichita,33.233136,-97.869415,45
Georgia Institute of Technology,Georgia Tech,33.776033,-84.39884086001581,56
Univ. of Illinois at Urbana-Champaign,University of Illinois at Urbana-Champaign,40.10056605,-88.23131272434611,91
Massachusetts Institute of Technology,Massachusetts Institute of Technology,42.3582529,-71.0966272383055,100
Arizona State University,Arizona,32.2287639,-110.9575209,45
Washington State University,Washington State University,46.7337724,-117.14976069286374,100
University of Pittsburgh,University of Pittsburgh,40.44415295,-79.96246095144505,100
University of Massachusetts Amherst,University of Massachusetts,42.38898,-72.5287,87
DePaul University,DePaul University,41.92401995,-87.65472731476649,100
California Institute of Technology,California Institute of Technology,34.13701375,-118.1252882487961,100
University of Delaware,University of Delaware,39.6810328,-75.7540184,100
University of Louisville,University of Louisville,38.21332235,-85.75770751081866,100
Univ. of California - Irvine,"Strategic Communications, University of California, Irvine",33.6440883,-117.8555373,58
University of Utah,University of Utah,40.762813699999995,-111.83687191368261,100
Univ. of California - Berkeley,"University of California, Berkeley",37.8753497,-122.23963364918777,84
Univ. of California - Davis,"University of California, Davis",38.533790350000004,-121.79079892146456,83
Binghamton University,State University of New York at Binghamton,42.08779975,-75.97066065614858,41
Virginia Tech,Virginia Polytechnic Institute and State University,37.22192675,-80.42728184013652,38
Stevens Institute of Technology,Stevens Institute of Technology,40.744809599999996,-74.0252392276461,100
University of South Florida,The University of the South,35.20447165,-85.91895307141937,70
Rochester Institute of Technology,Rochester Institute of Technology,43.08248835,-77.67291102378641,100
College of William and Mary,College of William and Mary,37.26908455,-76.72273688917291,100
West Virginia University,West Virginia University,39.63595,-79.95545,100
Northwestern University,Northwestern University,42.0551164,-87.67581113482166,100
Augusta University,Augusta University,33.4693345,-81.988562,100
Univ. of California - Riverside,"University of California, Riverside",33.96370575,-117.33978065170642,85
Purdue University,Purdue University,40.43002715,-86.92647668759187,100
Univ. of California - Merced,"University of California, Merced",37.3651866,-120.42273040717912,83
University at Buffalo,University of Nebraska at Kearney,40.6989871,-99.11044498253119,56
The University of Alabama,University of Alabama,33.21208215,-87.53967401518648,91
UNC - Charlotte,JW Clay Boulevard/UNC Charlotte,35.3107104,-80.745231,57
University of Virginia,University of Virginia,38.0410576,-78.50549960183568,100
University of Southern California,University of Southern California,34.0218833,-118.28586662125,100
Western Michigan University,Western Michigan University,42.28333755,-85.60950673080742,100
University of Nevada Las Vegas,University of Nevada,39.54158,-119.81491,80
Rice University,Rice University,29.716791450000002,-95.40478113393792,100
University of Michigan,University of Michigan,42.2942142,-83.71003893509601,100
University of Vermont,University of Vermont,44.4737365,-73.19414679705882,100
Air Force Institute of Technology,Air Force Institute of Technology,39.7819802,-84.08260144944413,100
Oregon State University,Oregon State University,44.56305595,-123.28392363395751,100
Florida State University,University of Florida,29.6328784,-82.34901329340119,44
University of Houston,University of Houston,29.7207902,-95.34406271491369,100
Virginia Commonwealth University,Virginia Commonwealth University,37.546124649999996,-77.45406089907547,100
North Carolina State University,North Carolina Zoo,35.628902,-79.761193,61
University of Kansas,University of Kansas,38.953491799999995,-95.26308879955823,100
Emory University,Emory University,33.795867650000005,-84.32778960627682,100
Georgia State University,Georgia State University,33.754761349999995,-84.38819218475689,100
Georgetown University,Georgetown University,38.90893925,-77.07457962060826,100
Wayne State University,Wayne State University,42.35720515,-83.07094978691399,100
Towson University,Towson University,39.38966285,-76.61589248682586,100
University of Arkansas,University of Arkansas,36.09352375,-94.17708979491738,100
University of North Carolina,University of North Carolina,35.90503535,-79.04775326525107,100
Columbia University,Columbia University,40.80775585,-73.96164946987652,100
University of Cincinnati,University of Cincinnati,39.1318613,-84.51576195582436,100
Michigan Technological University,Michigan Technological University,47.1099114,-88.55115132910507,100
University of Texas at San Antonio,The University of Texas at San Antonio,29.582022,-98.620112,94
Drexel University,Drexel University,39.9574,-75.19026656335703,100
New York University,New York University,40.72925325,-73.99625393609625,100
Stony Brook University,Stony Brook University,40.9090809,-73.12055180275716,100
University of Texas at Arlington,University of Texas at Austin,30.285319,-97.734219,85
University of Arizona,University of Arizona,32.2356427,-110.951744125426,100
Tufts University,Tufts University,42.40649125,-71.11800725402092,100
Auburn University,Auburn University,32.591987700000004,-85.4959487362446,100
University of Tennessee,University of Tennessee,35.9542493,-83.9307395,100
Utah State University,Utah Valley University,40.27941055,-111.71788683218048,84
Univ. of California - Santa Barbara,"University of California, Santa Barbara",34.414602450000004,-119.84581004701371,86
Portland State University,Portland State University,45.51181205,-122.68492999382892,100
University of Southern Mississippi,University of Southern Mississippi,31.3286452,-89.3367311705755,100
University of Louisiana - Lafayette,University of Louisiana at Lafayette,30.21928995,-92.04138303976296,96
Boise State University,Sign Shop at Boise State University,43.6040339,-116.2067442,77
University of South Carolina,University of South Carolina,33.992829799999996,-81.02685165712111,100
University of Wyoming,University of Wyoming,41.3144774,-105.56432285957351,100
Brown University,Brown University,41.8186395,-71.40880088822493,100
University of Oklahoma,University of Oklahoma,35.1959878,-97.44570827599858,100
Case Western Reserve University,Case Western Reserve University,41.505188,-81.604614,100
Rensselaer Polytechnic Institute,Rensselaer Polytechnic Institute,42.729921950000005,-73.67953982458829,100
Cleveland State University,Cleveland State University,41.50214445,-81.67516704866894,100
University of Texas at Dallas,University of Texas at Dallas,32.9875855,-96.74976927802929,100
Syracuse University,Syracuse University,43.017112850000004,-76.11855360009726,100
IUPUI,The Arbor Garden at IUPUI,39.77420105,-86.17500108342136,33
Claremont Graduate University,Claremont Graduate University,34.110385199999996,-117.71758836815268,100
Ohio State University,The Ohio State University,40.006009,-83.01132,91
Old Dominion University,Old Dominion University,36.8862699,-76.30972478839735,100
Temple University,Temple University,39.981188,-75.15628280757346,100
Texas State University,Texas State University,29.8884765,-97.94479885849292,100
University of Denver,University of Denver,39.67831365,-104.96250921815401,100
Brandeis University,Brandeis University,42.36650945,-71.2580196483813,100
Oakland University,Oakland University,42.666633250000004,-83.20655751756584,100
University of Michigan-Dearborn,University of Michigan-Dearborn,42.3172294,-83.23193935538828,100
Lehigh University,Lehigh University,40.6068028,-75.3782488,100
University of Missouri - Kansas City,University of Missouri,39.03924035,-94.57248659618713,76
Harvard University,Harvard University,42.36790855,-71.12678237443698,100
University of Nebraska,University of Nebraska - Lincoln City Campus,40.8206834,-96.70048317521739,67
