48/4664;Dimitris Gritzalis;AUEB;gr;https://www-1.aueb.gr/en/faculty/gritzalis-dimitrios;5hIalXgAAAAJ
s/DiomidisSpinellis;Diomidis D. Spinellis;AUEB;gr;https://www.dmst.aueb.gr/dds;RjXNgA8AAAAJ
73/7995;John Stouby Persson;Aalborg University;dk;http://people.cs.aau.dk/~john;2uofkmkAAAAJ
37/1078;Jan Stage;Aalborg University;dk;http://people.cs.aau.dk/~jans;6fgR7XcAAAAJ
d/PeterDolog;Peter Dolog;Aalborg University;dk;https://peterdolog.wordpress.com;gCafUI0AAAAJ
01/2452;Florian Echtler;Aalborg University;dk;https://floe.butterbrot.org;sZssYagAAAAJ
23/1643;Thomas D. Nielsen;Aalborg University;dk;http://people.cs.aau.dk/~tdn;6fWF0CgAAAAJ
139/3792;Niels van Berkel;Aalborg University;dk;http://www.nielsvanberkel.com;0VfMvLsAAAAJ
120/5232;Gabriela Montoya;Aalborg University;dk;https://vbn.aau.dk/en/persons/gabriela-valentina-montoya-castillo;qXfMXnYAAAAJ
52/5744;Radu Mardare;Aalborg University;dk;http://people.cs.aau.dk/~mardare;NOSCHOLARPAGE
l/KimGuldstrandLarsen;Kim G. Larsen;Aalborg University;dk;http://www.cs.aau.dk/~kgl;neDFD60AAAAJ
l/HuaLu;Hua Lu 0001;Aalborg University;dk;http://people.cs.aau.dk/~luhua;h1mExmcAAAAJ
13/2121;Giorgio Bacci;Aalborg University;dk;http://people.cs.aau.dk/~grbacci;y2Q3kK8AAAAJ
45/3941;Kristian G. Olesen;Aalborg University;dk;http://people.cs.aau.dk/~kgo/cv.html;qrPdfAcAAAAJ
j/ChristianSJensen;Christian S. Jensen;Aalborg University;dk;http://people.cs.aau.dk/~csj;wo20cPYAAAAJ
16/9542;Henning Pohl;Aalborg University;dk;https://henningpohl.net;ftOTeNkAAAAJ
15/622;Jeni Paay;Aalborg University;dk;http://people.cs.aau.dk/~jeni/jeni_homepage/home.html;-4miticAAAAJ
10/1606;Ivan Aaen;Aalborg University;dk;http://people.cs.aau.dk/~ivan;-8-9oRgAAAAJ
133/1161;Tim Merritt;Aalborg University;dk;http://www.ixd.net;RBhmAmkAAAAJ
n/KurtNormark;Kurt Nørmark;Aalborg University;dk;http://people.cs.aau.dk/~normark;5L7St-cAAAAJ
148/4464;Johannes Bjerva;Aalborg University;dk;https://bjerva.github.io/index.html;F9zlUBcAAAAJ
p/TorbenBachPedersen;Torben Bach Pedersen;Aalborg University;dk;http://people.cs.aau.dk/~tbp;XGzPuKEAAAAJ
06/6678;René Rydhof Hansen;Aalborg University;dk;http://people.cs.aau.dk/~rrh;MGLEvwkAAAAJ
34/2824;Arne Skou;Aalborg University;dk;http://people.cs.aau.dk/~ask;qIjjvXwAAAAJ
34/2869;Josva Kleist;Aalborg University;dk;http://personprofil.aau.dk/104832?lang=en;NOSCHOLARPAGE
25/5521;Bent Thomsen;Aalborg University;dk;http://people.cs.aau.dk/~bt;mhyMmZoAAAAJ
25/3348;Hans Hüttel;Aalborg University;dk;http://people.cs.aau.dk/~hans/index-eng.html;Wf7-agQAAAAJ
25/4976;Brian Nielsen;Aalborg University;dk;http://people.cs.aau.dk/~bnielsen;iAgWGgwAAAAJ
80/441;Ulrik Larsen;Aalborg University;dk;http://ulrik.blog.aau.dk;Z3FXuI0AAAAJ
14/1060;Jesper Kjeldskov;Aalborg University;dk;http://people.cs.aau.dk/~jesper;pD3nfeAAAAAJ
42/857;Lone Leth;Aalborg University;dk;http://people.cs.aau.dk/~lone;vyYcihcAAAAJ
50/4079;Manfred Jaeger;Aalborg University;dk;http://people.cs.aau.dk/~jaeger;1E085gUAAAAJ
17/2700;Anders Bruun;Aalborg University;dk;http://personprofil.aau.dk/120220;X32A-C4AAAAJ
132/7259;Nicolai Brodersen Hansen;Aalborg University;dk;https://vbn.aau.dk/da/persons/148582;7Uy9-ToAAAAJ
h/KatjaHose;Katja Hose;Aalborg University;dk;http://people.cs.aau.dk/~khose;LbXvZUoAAAAJ
30/1994;Mikael B. Skov;Aalborg University;dk;http://people.cs.aau.dk/~dubois;sivdLnwAAAAJ
